Gene,Locus Tag,Protein
ybdB,STM0599,"putative protein PaaI, possibly involved in aromatic compounds catabolism"
cstA,STM0600,carbon starvation protein
ybdD,STM0601,putative cytoplasmic protein
ybdH,STM0602,putative glycerol dehydrogenase
ybdL,STM0603,putative aminotransferase
ybdM,STM0604,putative transcriptional regulator
ybdN,STM0605,putative 3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase
ybdO,STM0606,putative LysR family transcriptional regulator
dsbG,STM0607,"periplasmic disulfide isomerase, thiol-disulfide oxidase"
ahpC,STM0608,"alkyl hydroperoxide reductase, C22 subunit"
ahpF,STM0609,"alkyl hydroperoxide reductase, F52a subunit"
,STM0610,putative component of anaerobic dehydrogenases
,STM0611,putative oxidoreductase protein
,STM0612,putative hydrogenase protein
,STM0613,putative hydrogenase protein
ybdQ,STM0614,putative universal stress protein UspA and related nucleotide-binding protein
ybdR,STM0615,putative dehydrogenase
rnk,STM0616,regulator of nucleoside diphosphate kinase
rna,STM0617,RNase I
citT,STM0618,"DASS family, citrate:succinate transport (antiport) protein"
citG,STM0619,putative modifier of citrate lyase protein
citX,STM0620,putative cytoplasmic protein
citF,STM0621,citrate lyase alpha chain
citE,STM0622,citrate lyase beta chain (acyl lyase subunit)
citD,STM0623,citrate lyase acyl carrier protein (gamma chain)
citC,STM0624,citrate lyase synthetase (citrate (pro-3S)-lyase ligase
dpiB,STM0625,sensory histidine kinase in two-component regulatory system with DpiA
dpiA,STM0626,response regulator in two-component regulatory system with DpiB
dcuC,STM0627,"DcuC family, dicarboxylate transporter"
pagP,STM0628,PhoPQ-activated gene
cspE,STM0629,"RNA chaperone, negative regulator of cspA transcription"
crcB,STM0630,high-copy crc-csp restores normal chromosome condensation in presence of camphor or mukB mutations
ybeM,STM0631,putative hydrolase
ybeC,STM0632,putative Sec-independent protein secretion pathway component
lipA,STM0633,"lipoate synthase, an iron-sulfur enzyme"
ybeF,STM0634,putative LysR family transcriptional regulator
lipB,STM0635,putative ligase in lipoate biosynthesis
ybeD,STM0636,putative cytoplasmic protein
dacA,STM0637,"D-alanyl-D-alanine carboxypeptidase, penicillin-binding protein 5"
rlpA,STM0638,a minor lipoprotein
mrdB,STM0639,rod shape-determining membrane protein; cell elongation in e phase
mrdA,STM0640,cell elongation specific transpeptidase of penicillin-binding protein 2 (peptidoglycan synthetase)
ybeA,STM0641,putative cytoplasmic protein
ybeB,STM0642,"putative ACR, homolog of plant Iojap protein"
cobC,STM0643,alpha ribazole-5'-P phosphatase in cobalamin synthesis
cobD,STM0644,putative aminotransferase in cobalamin synthesis
nadD,STM0645,putative nicotinic acid mononucleotide adenylyltransferase
holA,STM0646,"DNA polymerase III, delta subunit"
rlpB,STM0647,a minor lipoprotein
leuS,STM0648,leucine tRNA synthetase
,STM0649,putative hydrolase N-terminus
,STM0650,putative hydrolase C-terminus
,STM0651,putative permease
,STM0652,putative sigma-54 dependent transcriptional regulator
ybeL,STM0653,putative cytoplasmic protein
ybeQ,STM0654,putative TPR repeat protein
ybeR,STM0655,putative cytoplasmic protein
ybeS,STM0656,"putative molecular chaperone, DnaJ family"
ybeU,STM0657,putative cytoplasmic protein
ybeV,STM0658,"putative molecular chaperone, DnaJ family"
hscC,STM0659,"putative heatshock protein, homolog of hsp70 in Hsc66 subfamily"
,STM0660,putative cytoplasmic protein
ybeK,STM0661,putative purine nucleoside hydrolase
gltL,STM0662,glutamate/aspartate transporter
gltK,STM0663,glutamate/aspartate transporter
gltJ,STM0664,glutamate/aspartate transporter
gltI,STM0665,glutamate/aspartate transporter
lnt,STM0666,apolipoprotein N-acyltransferase
ybeX,STM0667,putative CBS domain-containing protein
ybeY,STM0668,putative metal-dependent hydrolase
phoL,STM0669,"putative phosphate starvation-inducible protein, ATP-binding"
miaB,STM0670,methylthiolation of isopentenylated A37 derivatives in rRNA
ubiF,STM0671,putative monooxygenase
,STM0672,putative inner membrane protein
asnB,STM0680,asparagine synthetase B
nagD,STM0681,putative phosphatase in N-acetylglucosamine metabolism
nagC,STM0682,transcriptional repressor of nag (N-acetylglucosamine) operon (NagC/XylR family)
nagA,STM0683,N-acetylglucosamine-6-phosphate deacetylase
nagB,STM0684,glucosamine-6-phosphate deaminase
nagE,STM0685,"Sugar Specific PTS family, n-acetylglucosamine-specific enzyme IIABC"
glnS,STM0686,glutamine tRNA synthetase
ybfM,STM0687,putative outer membrane protein
ybfN,STM0688,putative lipoprotein
citA,STM0689,citrate-proton symporter
citB,STM0690,citrate utilization protein b
,STM0691,putative periplasmic protein
,STM0692,putative LysR family transcriptional regulator
fur,STM0693,transcriptional repressor of iron-responsive genes (Fur family) (ferric uptake regulator)
fldA,STM0694,flavodoxin 1
ybfE,STM0695,"LexA regulated, putative SOS response"
ybfF,STM0696,putative enzyme
seqA,STM0697,negative modulator of initiation of replication
pgm,STM0698,phosphoglucomutase
,STM0699,putative cytoplasmic protein
potE,STM0700,"APC family, putrescine/ornithine antiporter"
speF,STM0701,"ornithine decarboxylase isozyme, inducible"
kdpE,STM0702,response regulator in two-component regulatory system with KdpD
kdpD,STM0703,sensory kinase in two-component regulatory system wtih KdpE
kdpC,STM0704,"P-type ATPase, high-affinity potassium transport system, C chain"
kdpB,STM0705,"P-type ATPase, high-affinity potassium transport system, B chain"
kdpA,STM0706,"P-type ATPase, high-affinity potassium transport system, A chain"
,STM0707,putative outer membrane protein
ybfA,STM0708,putative periplasmic protein
phrB,STM0709,deoxyribodipyrimidine photolyase (photoreactivation)
ybgH,STM0710,putative POT family transport protein
ybgI,STM0711,putative cytoplasmic protein
ybgJ,STM0712,putative carboxylase
ybgK,STM0713,putative carboxylase
ybgL,STM0714,putative lactam utilization protein
,STM0715,putative cytoplasmic protein
,STM0716,putative phage integrase
,STM0717,putative inner membrane protein
,STM0718,putative cytoplasmic protein
,STM0719,putative UDP-galactopyranose mutase
,STM0720,putative glycosyl transferase
,STM0721,putative glycosyl transferase
,STM0722,putative ABC transporter permease protein
,STM0723,"putative ABC-type polysaccharide/polyol phosphate transport system, ATPase component"
,STM0724,"putative glycosyltransferase, cell wall biogenesis"
,STM0725,"putative glycosyltransferase, cell wall biogenesis"
,STM0726,putative glycosyl transferase
,STM0727,putative cytoplasmic protein
nei,STM0728,endonuclease VIII
abrB,STM0729,putative transport protein
gltA,STM0730,citrate synthase
,STM0731,putative inner membrane protein
sdhC,STM0732,"succinate dehydrogenase, cytochrome b556"
sdhD,STM0733,"succinate dehydrogenase, hydrophobic subunit"
sdhA,STM0734,"succinate dehydrogenase, flavoprotein subunit"
sdhB,STM0735,"succinate dehydrogenase, Fe-S protein"
sucA,STM0736,2-oxoglutarate dehydrogenase decarboxylase component
sucB,STM0737,2-oxoglutarate dehydrogenase (dihydrolipoyltranssuccinase E2 component)
sucC,STM0738,"succinyl-CoA synthetase, beta subunit"
sucD,STM0739,"succinyl-CoA synthetase, alpha subunit"
cydA,STM0740,"cytochrome d terminal oxidase, polypeptide subunit I"
cydB,STM0741,cytochrome d terminal oxidase polypeptide subunit II
ybgT,STM0742,putative outer membrane lipoprotein
ybgE,STM0743,putative inner membrane lipoprotein
ybgC,STM0744,putative esterase
tolQ,STM0745,"tol protein, membrane-spanning inner membrane protein"
tolR,STM0746,"tol protein, role in outer membrane integrity"
tolA,STM0747,"tol protein, membrane spanning protein"
tolB,STM0748,tol protein required for outer membrane integrity
pal,STM0749,tol protein required for outer membrane integrity
ybgF,STM0750,putative periplasmic protein
nadA,STM0756,"quinolinate synthetase, A protein"
pnuC,STM0757,"NMN family, nucleoside/purine/pyrimidine transporter"
ybgR,STM0758,putative CDF family transport protein
ybgS,STM0759,putative homeobox protein
aroG,STM0760,"3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase, phenylalanine repressible)"
,STM0761,fumarate hydratase Class I anaerobic
,STM0762,"fumarate hydratase, alpha subunit"
,STM0763,"transcriptional regulator, lysR family"
,STM0764,"transcriptional regulator, lysR family"
,STM0765,putative cation transporter
dcoC,STM0766,oxalacetate decarboxylase: gamma chain
dcoB,STM0768,oxalacetate decarboxylase: beta chain
,STM0769,putative cytoplasmic protein
,STM0770,putative ABC transport protein
,STM0771,"putative ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component"
gpmA,STM0772,phosphoglyceromutase 1
galM,STM0773,galactose-1-epimerase (mutarotase)
galK,STM0774,galactokinase
galT,STM0775,galactose-1-phosphate uridylyltransferase
galE,STM0776,UDP-galactose 4-epimerase
,STM0777,putative inner membrane protein
modF,STM0778,"putative ABC superfamily (atp_bind), molybdenum transporter"
modE,STM0779,transcriptional repressor of modABCD operon (molybdate uptake)
,STM0780,putative outer membrane or exported
modA,STM0781,molybdate transporter
modB,STM0782,molybdate transporter
modC,STM0783,molybdate transporter
ybhA,STM0784,putative hydrolase of the HAD superfamily
ybhE,STM0785,putative 3-carboxymuconate cyclase
ybhC,STM0786,putative pectinesterase
hutI,STM0787,Imidazolonepropionase
hutG,STM0788,formimionoglutamate hydrolase
hutC,STM0789,histidine utilization repressor
hutH,STM0791,histidine ammonia lyase
ybhB,STM0792,putative phospholipid-binding protein
bioA,STM0793,"7,8-diaminopelargonic acid synthetase"
bioB,STM0794,biotin synthetase
bioF,STM0795,7-keto-8-aminopelargonic acid synthetase
bioC,STM0796,biotin biosynthesis; reaction prior to pimeloyl CoA
bioD,STM0797,dethiobiotin synthetase
uvrB,STM0798,UvrB with UvrAC is a DNA excision repair enzyme
,STM0799,putative cytoplasmic protein
slrP,STM0800,leucine-rich repeat protein
ybhK,STM0801,putative cytoplasmic protein
moaA,STM0802,"molybdopterin biosynthesis, protein A"
moaB,STM0803,"molybdopterin biosynthesis, protein B"
moaC,STM0804,"molybdopterin biosynthesis, protein C"
moaD,STM0805,molybdopterin biosynthesis protein
moaE,STM0806,"molybdopterin converting factor, subunit 2"
ybhL,STM0807,putative permease
ybhM,STM0808,putative integral membrane protein
,STM0809,putative inner membrane protein
,STM0810,putative inner membrane protein
ybhN,STM0811,putative negative regulator
ybhO,STM0812,cardiolipin (CL) synthase
ybhP,STM0813,putative cytoplasmic protein
ybhQ,STM0814,putative inner membrane protein
ybhR,STM0815,putative ABC superfamily (membrane) transport protein
ybhS,STM0816,putative ABC superfamily (membrane) transport protein
ybhF,STM0817,"putative ABC-type multidrug transport system, ATPase component"
,STM0818,membrane permease predicted cation efflux pump
ybiH,STM0819,putative transcriptional repressor (TetR/AcrR family)
rhlE,STM0820,putative ATP-dependent RNA helicase
dinG,STM0821,LexA regulated (SOS) repair enzyme
ybiB,STM0822,putative transferase
ybiJ,STM0823,putative periplasmic protein
ybiI,STM0825,putative DnaK suppressor protein
ybiN,STM0826,putative SAM-dependent methyltransferase
ybiO,STM0827,putative transport protein
glnQ,STM0828,glutamine high-affinity transporter
glnP,STM0829,glutamine high-affinity transporter
glnH,STM0830,glutamine high-affinity transporter
dps,STM0831,stress response DNA-binding protein; starvation induced resistance to H2O2
ybiF,STM0832,putative permease
ompX,STM0833,"outer membrane protease, receptor for phage OX2"
ybiP,STM0834,putative integral membrane protein
,STM0835,putative Mn-dependent transcriptional regulator
ybiR,STM0836,putative di- and tricarboxylate transporters
ybiS,STM0837,putative periplasmic protein
ybiT,STM0838,putative ATPase component of ABC transporter with duplicated ATPase domain
,STM0839,putative inner membrane protein
ybiV(2),STM0840,putative hydrolase of the HAD superfamily
ybiU,STM0841,putative cytoplasmic protein
ybiV(1),STM0842,putative hydrolase of the HAD superfamily
pflF,STM0843,putative pyruvate formate lyase
pflE,STM0844,putative pyruvate formate lyase activating enzyme
moeB,STM0845,molybdopterin biosynthesis
moeA,STM0846,molybdopterin biosynthesis protein
ybiK,STM0847,putative asparaginase
yliA,STM0848,"putative ATPase components of ABC-type transport system, containing duplicated ATPase domain"
yliB,STM0849,putative ABC transporter periplasmic binding protein
yliC,STM0850,putative ABC transporter periplasmic binding protein
yliD,STM0851,putative ABC transporter inner membrane component
yliG,STM0852,putative Fe-S oxidoreductases family 1
yliH,STM0853,putative cytoplasmic protein
,STM0854,putative cytoplasmic protein
,STM0855,putative electron transfer flavoprotein beta subunit
,STM0856,putative electron transfer flavoprotein alpha subunit
,STM0857,putative acyl-CoA dehydrogenase
,STM0858,putative dehydrogenase (flavoproteins)
,STM0859,putative LysR family transcriptional regulator
,STM0860,putative inner membrane protein
yliI,STM0861,putative dehydrogenase
yliJ,STM0862,putative glutathione S-transferase
dacC,STM0863,D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein 6a
deoR,STM0864,transcriptional repressor for deoxyribose operon (DeoR family)
ybjG,STM0865,putative permease
mdfA,STM0866,multidrug translocase
,STM0867,putative hydrolase
,STM0868,putative transport protein/putative regulator
,STM0869,putative regulator (TetR/Acr family)
,STM0870,putative transport protein
ybjM,STM0871,putative inner membrane protein
grxA,STM0872,redox coenzyme for glutathione-dependent ribonucleotide reductase glutaredoxin1
ybjC,STM0873,putative inner membrane protein
mdaA,STM0874,oxygen-insensitive NADPH nitroreductase
rimK,STM0875,ribosomal protein S6 modification protein
ybjN,STM0876,putative cytoplasmic protein
potF,STM0877,"ABC superfamily (peri_perm), putrescine transporter"
potG,STM0878,putrescine transporter
potH,STM0879,putrescine transporter
potI,STM0880,putrescine transporter
ybjO,STM0881,putative inner membrane protein
ybjF,STM0882,putative tRNA (uracil-5-)-methyltransferase
,STM0884,putative inner membrane protein; homology to SgaT from Vibrio
,STM0885,putative inner membrane protein; homology to SgaT from Vibrio
,STM0886,putative sulfatase
artJ,STM0887,arginine 3rd transport system
artM,STM0888,arginine 3rd transport system
artQ,STM0889,arginine 3rd transport system
artI,STM0890,arginine transport system
artP,STM0891,arginine transport system
ybjP,STM0892,putative lipoprotein
,STM0893,putative Fels-1 prophage integrase
,STM0894,putative Fels-1 prophage excisionase
,STM0895,Fels-1 prophage protein
,STM0896,Fels-1 prophage protein
,STM0897,Fels-1 prophage protein
,STM0898,putative Fels-1 prophage transcriptional regulator
,STM0898A,Fels-1 prophage protein
,STM0899,Fels-1 prophage protein
,STM0900,putative Fels-1 prophage DNA or RNA helicases of superfamily II
,STM0901,Fels-1 putative prophage DNA primase
,STM0902,Fels-1 prophage protein
,STM0903,putative Fels-1 prophage chaparone
,STM0904,Fels-1 prophage protein
,STM0905,Fels-1 prophage hypothetical protein
,STM0906,Fels-1 prophage protein
,STM0907,putative Fels-1 prophage chitinase
,STM0908,Fels-1 prophage protein
,STM0909,Fels-1 prophage protein
,STM0910,Fels-1 prophage protein
,STM0911,Fels-1 prophage protein
,STM0912,Fels-1 prophage protease subunits of ATP-dependent proteases
